sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL10085,Armatree,NSW,164.0,668.41,100.0,100.0,100.0
SAL10086,Armidale,NSW,23967.0,371.11,290.0,290.0,290.0
SAL10087,Arncliffe,NSW,12023.0,4.29,500.0,500.0,500.0
SAL10088,Arndell Park,NSW,6.0,2.9,530.0,530.0,530.0
SAL10089,Arrawarra,NSW,591.0,3.77,200.0,200.0,200.0
SAL10090,Arrawarra Headland,NSW,615.0,3.59,373.0,373.0,373.0
SAL10091,Artarmon,NSW,9417.0,3.68,525.0,525.0,525.0
SAL10092,Arthurville,NSW,47.0,102.4,0.0,0.0,0.0
SAL10093,Arumpo,NSW,40.0,7802.42,25.0,25.0,25.0
SAL10094,Ashbury,NSW,3353.0,1.5,600.0,600.0,600.0
SAL10095,Ashby (Nsw),NSW,316.0,18.56,350.0,350.0,350.0
SAL10096,Ashby Heights,NSW,292.0,42.77,310.0,310.0,310.0
SAL10097,Ashby Island,NSW,18.0,3.19,0.0,0.0,0.0
SAL10098,Ashcroft,NSW,3634.0,1.68,295.0,295.0,295.0
SAL10099,Ashfield (Nsw),NSW,23012.0,4.97,440.0,440.0,440.0
SAL10100,Ashford (Nsw),NSW,659.0,898.88,185.0,185.0,185.0
SAL10101,Ashley,NSW,351.0,438.67,280.0,280.0,280.0
SAL10102,Ashmont,NSW,3747.0,3.64,220.0,220.0,220.0
SAL10103,Ashtonfield,NSW,4589.0,9.69,440.0,440.0,440.0
SAL10104,Asquith,NSW,6160.0,5.07,490.0,490.0,490.0
SAL10105,Atholwood,NSW,68.0,597.0,84.0,84.0,84.0
SAL10106,Attunga,NSW,542.0,298.08,300.0,300.0,300.0
SAL10107,Auburn (Nsw),NSW,39333.0,12.45,410.0,410.0,410.0
SAL10108,Auburn Vale,NSW,127.0,84.86,335.0,335.0,335.0
SAL10109,Austinmer,NSW,2725.0,4.93,550.0,550.0,550.0
SAL10110,Austral,NSW,6847.0,25.71,520.0,520.0,520.0
SAL10111,Austral Eden,NSW,145.0,18.6,260.0,260.0,260.0
SAL10112,Avalon Beach,NSW,10379.0,7.45,700.0,700.0,700.0
SAL10113,Avisford,NSW,45.0,25.95,380.0,380.0,380.0
SAL10114,Avoca (Nsw),NSW,208.0,36.42,330.0,330.0,330.0
SAL10115,Avoca Beach,NSW,4708.0,6.4,530.0,530.0,530.0
SAL10116,Avon (Nsw),NSW,0.0,391.65,0.0,0.0,0.0
SAL10117,Avondale (Nsw),NSW,1695.0,27.04,300.0,300.0,300.0
SAL10118,Avonside,NSW,157.0,88.72,500.0,500.0,500.0
SAL10119,Awaba,NSW,430.0,32.98,300.0,300.0,300.0
SAL10120,Aylmerton,NSW,195.0,4.12,430.0,430.0,430.0
SAL10121,Baan Baa,NSW,166.0,345.03,300.0,300.0,300.0
SAL10122,Babinda (Nsw),NSW,14.0,663.09,200.0,200.0,200.0
SAL10123,Babyl Creek,NSW,4.0,33.78,0.0,0.0,0.0
