sal_code_2021,name,state,population,suburb_area_sq_km,Median_rent_weekly_x,Median_rent_weekly_y,median_rent_weekly
SAL12342,Limpinwood,NSW,234.0,70.09,350.0,350.0,350.0
SAL12343,Linburn,NSW,59.0,57.44,270.0,270.0,270.0
SAL12344,Linden (Nsw),NSW,471.0,8.97,410.0,410.0,410.0
SAL12345,Lindendale,NSW,263.0,17.65,273.0,273.0,273.0
SAL12346,Lindesay,NSW,38.0,358.96,577.0,577.0,577.0
SAL12347,Lindesay Creek,NSW,27.0,60.84,200.0,200.0,200.0
SAL12348,Lindfield,NSW,10943.0,7.45,600.0,600.0,600.0
SAL12349,Lindifferon,NSW,47.0,264.52,213.0,213.0,213.0
SAL12350,Linley Point,NSW,382.0,0.29,1200.0,1200.0,1200.0
SAL12351,Lionsville,NSW,14.0,238.65,0.0,0.0,0.0
SAL12352,Lisarow,NSW,5299.0,15.62,435.0,435.0,435.0
SAL12353,Lismore (Nsw),NSW,3656.0,4.8,280.0,280.0,280.0
SAL12354,Lismore Heights,NSW,2117.0,2.4,338.0,338.0,338.0
SAL12355,Liston,NSW,130.0,100.38,235.0,235.0,235.0
SAL12356,Lithgow,NSW,4956.0,8.61,280.0,280.0,280.0
SAL12357,Little Back Creek,NSW,37.0,18.23,315.0,315.0,315.0
SAL12358,Little Bay,NSW,4817.0,3.58,590.0,590.0,590.0
SAL12359,Little Billabong,NSW,146.0,703.55,250.0,250.0,250.0
SAL12360,Little Forest,NSW,185.0,37.24,350.0,350.0,350.0
SAL12361,Little Hartley,NSW,629.0,35.43,390.0,390.0,390.0
SAL12362,Little Jacks Creek,NSW,24.0,137.71,140.0,140.0,140.0
SAL12363,Little Jilliby,NSW,102.0,5.27,560.0,560.0,560.0
SAL12364,Little Pelican,NSW,0.0,0.45,0.0,0.0,0.0
SAL12365,Little Plain,NSW,159.0,83.81,225.0,225.0,225.0
SAL12366,Little River (Nsw),NSW,38.0,34.22,0.0,0.0,0.0
SAL12367,Little Topar,NSW,19.0,5036.43,0.0,0.0,0.0
SAL12368,Little Wobby,NSW,23.0,2.15,225.0,225.0,225.0
SAL12369,Littleton,NSW,737.0,1.44,300.0,300.0,300.0
SAL12370,Liverpool,NSW,31078.0,9.25,370.0,370.0,370.0
SAL12371,Llanarth (Nsw),NSW,2302.0,3.52,440.0,440.0,440.0
SAL12372,Llandilo,NSW,1618.0,18.67,500.0,500.0,500.0
SAL12373,Llangothlin,NSW,104.0,179.73,238.0,238.0,238.0
SAL12374,Lloyd,NSW,1509.0,7.02,420.0,420.0,420.0
SAL12375,Loadstone,NSW,34.0,24.42,250.0,250.0,250.0
SAL12376,Lochiel (Nsw),NSW,411.0,132.13,260.0,260.0,260.0
SAL12377,Lochinvar,NSW,1095.0,31.02,370.0,370.0,370.0
SAL12378,Lockhart,NSW,1019.0,728.65,195.0,195.0,195.0
SAL12379,Locksley (Nsw),NSW,55.0,31.1,300.0,300.0,300.0
SAL12380,Loftus,NSW,4190.0,3.7,550.0,550.0,550.0
SAL12381,Loftville,NSW,265.0,4.87,215.0,215.0,215.0
SAL12382,Logans Crossing,NSW,162.0,9.28,430.0,430.0,430.0
SAL12383,Logie Brae,NSW,47.0,194.26,100.0,100.0,100.0
SAL12384,Londonderry (Nsw),NSW,4024.0,52.45,460.0,460.0,460.0
SAL12385,Long Beach,NSW,1758.0,14.6,410.0,410.0,410.0
SAL12386,Long Flat (Nsw),NSW,112.0,13.48,300.0,300.0,300.0
SAL12387,Long Jetty,NSW,6736.0,3.65,360.0,360.0,360.0
SAL12388,Long Plain (Inverell - Nsw),NSW,44.0,61.35,240.0,240.0,240.0
SAL12389,Long Plain (Snowy Monaro Regional - Nsw),NSW,0.0,174.08,0.0,0.0,0.0
SAL12390,Long Point (Campbelltown - Nsw),NSW,173.0,2.93,160.0,160.0,160.0
SAL12391,Long Point (Singleton - Nsw),NSW,64.0,10.65,375.0,375.0,375.0
SAL12392,Longarm,NSW,23.0,116.25,100.0,100.0,100.0
SAL12393,Longreach (Nsw),NSW,72.0,20.4,650.0,650.0,650.0
SAL12394,Longueville,NSW,2116.0,1.44,1100.0,1100.0,1100.0
SAL12395,Loomberah,NSW,552.0,414.17,300.0,300.0,300.0
SAL12396,Lord Howe Island,NSW,445.0,22.5,310.0,310.0,310.0
SAL12397,Lords Hill,NSW,33.0,139.95,220.0,220.0,220.0
SAL12398,Lorn,NSW,1465.0,6.5,378.0,378.0,378.0
SAL12399,Lorne (Nsw),NSW,277.0,70.22,315.0,315.0,315.0
SAL12400,Lost River,NSW,94.0,170.94,215.0,215.0,215.0
SAL12401,Lostock,NSW,65.0,88.33,113.0,113.0,113.0
SAL12402,Louisa Creek,NSW,10.0,36.77,0.0,0.0,0.0
SAL12403,Louth,NSW,74.0,8829.77,130.0,130.0,130.0
SAL12404,Louth Park,NSW,922.0,17.05,400.0,400.0,400.0
SAL12405,Lovedale,NSW,502.0,68.81,340.0,340.0,340.0
SAL12406,Lovett Bay,NSW,117.0,0.66,500.0,500.0,500.0
SAL12407,Lowanna,NSW,359.0,213.39,300.0,300.0,300.0
SAL12408,Lower Acacia Creek,NSW,36.0,62.04,0.0,0.0,0.0
SAL12409,Lower Bago,NSW,5.0,17.77,0.0,0.0,0.0
SAL12410,Lower Belford,NSW,407.0,59.05,300.0,300.0,300.0
SAL12411,Lower Boro,NSW,217.0,257.28,210.0,210.0,210.0
SAL12412,Lower Bottle Creek,NSW,43.0,39.31,350.0,350.0,350.0
SAL12413,Lower Creek,NSW,66.0,339.7,200.0,200.0,200.0
SAL12414,Lower Duck Creek,NSW,27.0,102.34,0.0,0.0,0.0
SAL12415,Lower Dyraaba,NSW,43.0,25.01,66.0,66.0,66.0
SAL12416,Lower Lewis Ponds,NSW,40.0,59.69,370.0,370.0,370.0
SAL12417,Lower Macdonald,NSW,244.0,14.67,310.0,310.0,310.0
SAL12418,Lower Mangrove,NSW,70.0,23.8,380.0,380.0,380.0
SAL12419,Lower Pappinbarra,NSW,136.0,20.7,131.0,131.0,131.0
SAL12420,Lower Peacock,NSW,5.0,42.78,125.0,125.0,125.0
SAL12421,Lower Portland,NSW,711.0,86.48,400.0,400.0,400.0
SAL12422,Lower Southgate,NSW,112.0,97.14,180.0,180.0,180.0
SAL12423,Lowesdale,NSW,100.0,225.57,175.0,175.0,175.0
SAL12424,Lowther,NSW,69.0,49.52,355.0,355.0,355.0
SAL12425,Loxford,NSW,42.0,12.95,250.0,250.0,250.0
SAL12426,Lucas Heights,NSW,4.0,14.5,0.0,0.0,0.0
SAL12427,Lucknow (Nsw),NSW,277.0,33.25,400.0,400.0,400.0
SAL12428,Luddenham,NSW,1927.0,64.12,480.0,480.0,480.0
SAL12429,Lue,NSW,216.0,167.41,320.0,320.0,320.0
SAL12430,Lugarno,NSW,5869.0,3.91,560.0,560.0,560.0
SAL12431,Lurnea,NSW,10057.0,3.65,380.0,380.0,380.0
SAL12432,Luskintyre,NSW,216.0,27.06,390.0,390.0,390.0
SAL12433,Lynchs Creek,NSW,106.0,47.91,300.0,300.0,300.0
SAL12434,Lyndhurst (Armidale Regional - Nsw),NSW,41.0,244.43,0.0,0.0,0.0
SAL12435,Lyndhurst (Blayney - Nsw),NSW,359.0,89.72,250.0,250.0,250.0
SAL12436,Lynwood (Nsw),NSW,215.0,10.53,400.0,400.0,400.0
SAL12437,Mabins Well,NSW,8.0,616.63,0.0,0.0,0.0
SAL12438,Macdonalds Creek,NSW,11.0,96.64,0.0,0.0,0.0
SAL12439,Macksville,NSW,2782.0,15.09,320.0,320.0,320.0
SAL12440,Maclean,NSW,2778.0,12.88,330.0,330.0,330.0
SAL12441,Macmasters Beach,NSW,1399.0,8.37,500.0,500.0,500.0
SAL12442,Macquarie Fields,NSW,14023.0,10.23,340.0,340.0,340.0
SAL12443,Macquarie Hills,NSW,3605.0,3.34,473.0,473.0,473.0
SAL12444,Macquarie Links,NSW,1455.0,2.58,580.0,580.0,580.0
SAL12445,Macquarie Marshes,NSW,0.0,528.8,0.0,0.0,0.0
SAL12446,Macquarie Park,NSW,11071.0,9.82,460.0,460.0,460.0
SAL12447,Macquarie Pass,NSW,0.0,14.51,0.0,0.0,0.0
SAL12448,Maddens Plains,NSW,8.0,22.94,600.0,600.0,600.0
SAL12449,Maffra (Nsw),NSW,22.0,118.61,350.0,350.0,350.0
SAL12450,Magenta (Nsw),NSW,332.0,9.27,550.0,550.0,550.0
SAL12451,Magometon,NSW,26.0,445.43,0.0,0.0,0.0
SAL12452,Maianbar,NSW,539.0,0.43,500.0,500.0,500.0
SAL12453,Maimuru,NSW,145.0,84.46,200.0,200.0,200.0
SAL12454,Main Arm,NSW,640.0,33.51,450.0,450.0,450.0
SAL12455,Main Creek,NSW,95.0,106.62,270.0,270.0,270.0
SAL12456,Mairjimmy,NSW,37.0,146.46,0.0,0.0,0.0
SAL12457,Maison Dieu,NSW,175.0,43.79,330.0,330.0,330.0
SAL12458,Maitland (Nsw),NSW,1972.0,7.75,320.0,320.0,320.0
SAL12459,Maitland Bar,NSW,21.0,31.12,300.0,300.0,300.0
SAL12460,Maitland Vale,NSW,281.0,16.02,513.0,513.0,513.0
SAL12461,Majors Creek (Nsw),NSW,290.0,105.97,390.0,390.0,390.0
SAL12462,Malabar,NSW,4714.0,5.21,150.0,150.0,150.0
SAL12463,Malabugilmah,NSW,35.0,124.77,250.0,250.0,250.0
SAL12464,Maldon (Nsw),NSW,25.0,3.05,230.0,230.0,230.0
SAL12465,Mallabula,NSW,963.0,4.21,350.0,350.0,350.0
SAL12466,Mallan,NSW,45.0,481.41,120.0,120.0,120.0
SAL12467,Mallanganee,NSW,137.0,60.97,240.0,240.0,240.0
SAL12468,Mallee,NSW,8.0,2749.11,175.0,175.0,175.0
SAL12469,Mallowa,NSW,97.0,971.99,228.0,228.0,228.0
SAL12470,Maloneys Beach,NSW,408.0,7.89,380.0,380.0,380.0
SAL12471,Malua Bay,NSW,2071.0,18.86,418.0,418.0,418.0
SAL12472,Manar,NSW,112.0,65.55,485.0,485.0,485.0
SAL12473,Manchester Square,NSW,27.0,12.51,0.0,0.0,0.0
SAL12474,Mandagery,NSW,82.0,298.82,300.0,300.0,300.0
SAL12475,Mandalong,NSW,433.0,74.72,410.0,410.0,410.0
SAL12476,Mandemar,NSW,64.0,23.19,428.0,428.0,428.0
SAL12477,Mandurama,NSW,345.0,465.65,250.0,250.0,250.0
SAL12478,Mangerton,NSW,2862.0,1.53,353.0,353.0,353.0
SAL12479,Mangoola,NSW,76.0,66.38,270.0,270.0,270.0
SAL12480,Mangoplah,NSW,291.0,332.15,200.0,200.0,200.0
SAL12481,Mangrove Creek,NSW,56.0,27.58,650.0,650.0,650.0
SAL12482,Mangrove Mountain,NSW,736.0,110.29,369.0,369.0,369.0
SAL12483,Manildra,NSW,822.0,504.21,220.0,220.0,220.0
SAL12484,Manilla,NSW,2386.0,95.92,260.0,260.0,260.0
SAL12485,Manly (Nsw),NSW,16296.0,8.08,725.0,725.0,725.0
SAL12486,Manly Vale,NSW,6389.0,2.76,550.0,550.0,550.0
SAL12487,Mannering Park,NSW,2554.0,10.2,378.0,378.0,378.0
SAL12488,Manning Point,NSW,229.0,4.17,210.0,210.0,210.0
SAL12489,Mannus,NSW,225.0,149.14,120.0,120.0,120.0
SAL12490,Manobalai,NSW,76.0,206.54,253.0,253.0,253.0
SAL12491,Manton (Nsw),NSW,350.0,105.97,620.0,620.0,620.0
SAL12492,Manyana,NSW,670.0,3.58,325.0,325.0,325.0
SAL12493,Maragle,NSW,84.0,418.8,0.0,0.0,0.0
SAL12494,Maraylya,NSW,1281.0,28.06,500.0,500.0,500.0
SAL12495,Marayong,NSW,7834.0,3.92,379.0,379.0,379.0
SAL12496,March,NSW,118.0,19.23,240.0,240.0,240.0
SAL12497,Marchmont,NSW,285.0,79.41,340.0,340.0,340.0
SAL12498,Mardi,NSW,3598.0,13.63,440.0,440.0,440.0
SAL12499,Marengo (Nsw),NSW,8.0,335.75,0.0,0.0,0.0
SAL12500,Mares Run,NSW,0.0,77.93,0.0,0.0,0.0
SAL12501,Marinna,NSW,36.0,113.07,0.0,0.0,0.0
SAL12502,Marks Point,NSW,1861.0,1.36,318.0,318.0,318.0
SAL12503,Markwell,NSW,144.0,74.85,250.0,250.0,250.0
SAL12504,Marlee,NSW,199.0,85.06,180.0,180.0,180.0
SAL12505,Marlo Merrican,NSW,60.0,71.49,250.0,250.0,250.0
SAL12506,Marlow,NSW,35.0,1.7,250.0,250.0,250.0
SAL12507,Marlowe,NSW,8.0,72.65,315.0,315.0,315.0
SAL12508,Marmong Point,NSW,765.0,1.27,390.0,390.0,390.0
SAL12509,Marom Creek,NSW,146.0,33.05,264.0,264.0,264.0
SAL12510,Maroota,NSW,616.0,82.28,430.0,430.0,430.0
SAL12511,Maroubra,NSW,30722.0,8.63,540.0,540.0,540.0
SAL12512,Marrangaroo,NSW,783.0,101.32,353.0,353.0,353.0
SAL12513,Marrar,NSW,363.0,254.88,275.0,275.0,275.0
SAL12514,Marrickville,NSW,26570.0,8.4,480.0,480.0,480.0
SAL12515,Marsden Park,NSW,14610.0,18.68,570.0,570.0,570.0
SAL12516,Marsfield,NSW,12492.0,5.61,475.0,475.0,475.0
SAL12517,Marshall Mount,NSW,177.0,16.5,375.0,375.0,375.0
SAL12518,Marshdale,NSW,46.0,31.7,285.0,285.0,285.0
SAL12519,Marthaguy,NSW,63.0,1527.94,0.0,0.0,0.0
SAL12520,Martindale,NSW,168.0,614.26,325.0,325.0,325.0
SAL12521,Martins Creek,NSW,351.0,47.63,335.0,335.0,335.0
SAL12522,Martinsville,NSW,389.0,93.51,347.0,347.0,347.0
SAL12523,Marulan,NSW,1428.0,282.03,380.0,380.0,380.0
SAL12524,Maryland (Newcastle - Nsw),NSW,7714.0,6.46,400.0,400.0,400.0
SAL12525,Maryland (Tenterfield - Nsw),NSW,89.0,167.25,213.0,213.0,213.0
SAL12526,Marys Mount,NSW,99.0,208.3,195.0,195.0,195.0
SAL12527,Maryvale (Nsw),NSW,190.0,140.84,300.0,300.0,300.0
SAL12528,Maryville,NSW,1671.0,0.85,505.0,505.0,505.0
SAL12529,Mascot,NSW,21591.0,17.42,600.0,600.0,600.0
SAL12530,Matcham,NSW,1038.0,12.73,550.0,550.0,550.0
SAL12531,Matheson,NSW,50.0,178.04,284.0,284.0,284.0
SAL12532,Mathoura,NSW,1002.0,832.91,180.0,180.0,180.0
SAL12533,Matong,NSW,159.0,445.25,150.0,150.0,150.0
SAL12534,Matraville,NSW,9925.0,5.73,480.0,480.0,480.0
SAL12535,Maude (Nsw),NSW,110.0,3556.46,462.0,462.0,462.0
SAL12536,Maules Creek,NSW,87.0,664.68,390.0,390.0,390.0
SAL12537,Maxwell,NSW,90.0,105.4,470.0,470.0,470.0
SAL12538,Maybole,NSW,51.0,129.9,150.0,150.0,150.0
SAL12539,Mayers Flat,NSW,50.0,48.93,295.0,295.0,295.0
SAL12540,Mayfield (Newcastle - Nsw),NSW,9760.0,4.44,375.0,375.0,375.0
SAL12541,Mayfield (Oberon - Nsw),NSW,3.0,23.07,0.0,0.0,0.0
SAL12542,Mayfield (Queanbeyan-Palerang Regional - Nsw),NSW,57.0,137.37,50.0,50.0,50.0
SAL12543,Mayfield (Shoalhaven - Nsw),NSW,36.0,3.33,400.0,400.0,400.0
SAL12544,Mayfield East,NSW,1794.0,0.88,420.0,420.0,420.0
SAL12545,Mayfield North,NSW,0.0,6.3,0.0,0.0,0.0
SAL12546,Mayfield West,NSW,1993.0,3.28,370.0,370.0,370.0
SAL12547,Mayrung,NSW,171.0,355.91,150.0,150.0,150.0
SAL12548,Mays Hill,NSW,1902.0,0.43,435.0,435.0,435.0
SAL12549,Mayvale,NSW,19.0,133.1,0.0,0.0,0.0
SAL12550,Mccullys Gap,NSW,262.0,125.63,300.0,300.0,300.0
SAL12551,Mcdougalls Hill,NSW,131.0,4.47,275.0,275.0,275.0
SAL12552,Mcgraths Hill,NSW,2537.0,4.47,450.0,450.0,450.0
SAL12553,Mckees Hill,NSW,295.0,43.37,290.0,290.0,290.0
SAL12554,Mckellars Park,NSW,210.0,0.64,340.0,340.0,340.0
SAL12555,Mcleans Ridges,NSW,808.0,24.88,400.0,400.0,400.0
SAL12556,Mcleods Shoot,NSW,113.0,8.08,515.0,515.0,515.0
SAL12557,Mcmahons Point,NSW,2315.0,0.51,580.0,580.0,580.0
SAL12558,Mcmahons Reef,NSW,68.0,195.69,150.0,150.0,150.0
SAL12559,Meadow Flat,NSW,356.0,101.85,323.0,323.0,323.0
SAL12560,Meadowbank (Nsw),NSW,5089.0,1.0,430.0,430.0,430.0
SAL12561,Mebbin,NSW,0.0,54.98,0.0,0.0,0.0
SAL12562,Mebul,NSW,61.0,142.75,425.0,425.0,425.0
SAL12563,Medlow Bath,NSW,569.0,7.53,398.0,398.0,398.0
SAL12564,Medowie,NSW,10879.0,63.39,430.0,430.0,430.0
SAL12565,Medway,NSW,143.0,26.01,375.0,375.0,375.0
SAL12566,Meerschaum Vale,NSW,372.0,48.33,435.0,435.0,435.0
SAL12567,Megalong Valley,NSW,148.0,139.23,280.0,280.0,280.0
SAL12568,Megan,NSW,168.0,63.67,238.0,238.0,238.0
SAL12569,Melbergen,NSW,19.0,225.54,0.0,0.0,0.0
SAL12570,Melinga,NSW,112.0,52.78,360.0,360.0,360.0
SAL12571,Mellong,NSW,7.0,574.66,0.0,0.0,0.0
SAL12572,Mellool,NSW,43.0,366.89,165.0,165.0,165.0
SAL12573,Melonba,NSW,1439.0,9.37,600.0,600.0,600.0
SAL12574,Melrose Park (Nsw),NSW,2059.0,1.86,490.0,490.0,490.0
SAL12575,Melville (Nsw),NSW,64.0,7.9,498.0,498.0,498.0
SAL12576,Memagong,NSW,96.0,339.87,225.0,225.0,225.0
SAL12577,Menah,NSW,186.0,56.31,450.0,450.0,450.0
SAL12578,Menai,NSW,10419.0,18.88,560.0,560.0,560.0
SAL12579,Menangle,NSW,1252.0,49.89,450.0,450.0,450.0
SAL12580,Menangle Park,NSW,224.0,12.75,500.0,500.0,500.0
SAL12581,Mendooran,NSW,626.0,1214.22,205.0,205.0,205.0
SAL12582,Menindee,NSW,537.0,18750.81,184.0,184.0,184.0
SAL12583,Merah North,NSW,129.0,796.75,110.0,110.0,110.0
SAL12584,Merewether,NSW,11788.0,8.97,420.0,420.0,420.0
SAL12585,Merewether Heights,NSW,1495.0,0.75,580.0,580.0,580.0
SAL12586,Merimbula,NSW,3821.0,28.3,310.0,310.0,310.0
SAL12587,Meringo,NSW,143.0,9.91,250.0,250.0,250.0
SAL12588,Mernot,NSW,0.0,212.87,0.0,0.0,0.0
SAL12589,Meroo,NSW,46.0,61.76,684.0,684.0,684.0
SAL12590,Meroo Meadow,NSW,474.0,27.16,400.0,400.0,400.0
SAL12591,Merotherie,NSW,24.0,134.54,0.0,0.0,0.0
SAL12592,Merriangaah,NSW,12.0,135.27,0.0,0.0,0.0
SAL12593,Merricumbene,NSW,14.0,42.06,0.0,0.0,0.0
SAL12594,Merrigal,NSW,10.0,319.58,0.0,0.0,0.0
SAL12595,Merrill,NSW,38.0,133.5,243.0,243.0,243.0
SAL12596,Merriwa (Nsw),NSW,1825.0,2656.75,245.0,245.0,245.0
SAL12597,Merriwagga,NSW,124.0,1316.29,101.0,101.0,101.0
SAL12598,Merrygoen,NSW,79.0,252.34,150.0,150.0,150.0
SAL12599,Merrylands,NSW,32472.0,9.77,400.0,400.0,400.0
SAL12600,Merrylands West,NSW,7054.0,2.52,400.0,400.0,400.0
SAL12601,Merungle Hill,NSW,258.0,62.69,241.0,241.0,241.0
SAL12602,Meryla,NSW,9.0,152.59,0.0,0.0,0.0
SAL12603,Metford,NSW,4707.0,3.43,350.0,350.0,350.0
SAL12604,Methul,NSW,60.0,286.05,50.0,50.0,50.0
SAL12605,Metz,NSW,117.0,266.06,243.0,243.0,243.0
SAL12606,Miamley,NSW,12.0,445.77,0.0,0.0,0.0
SAL12607,Miandetta (Nsw),NSW,23.0,747.36,0.0,0.0,0.0
SAL12608,Micalo Island,NSW,45.0,13.18,325.0,325.0,325.0
SAL12609,Michelago,NSW,642.0,358.31,400.0,400.0,400.0
SAL12610,Middle Arm,NSW,377.0,194.3,420.0,420.0,420.0
SAL12611,Middle Brook,NSW,260.0,100.57,400.0,400.0,400.0
SAL12612,Middle Brother,NSW,52.0,31.24,243.0,243.0,243.0
SAL12613,Middle Cove,NSW,1327.0,1.5,930.0,930.0,930.0
SAL12614,Middle Dural,NSW,1040.0,11.08,650.0,650.0,650.0
SAL12615,Middle Falbrook,NSW,73.0,15.59,450.0,450.0,450.0
SAL12616,Middle Flat,NSW,41.0,59.89,0.0,0.0,0.0
SAL12617,Middle Pocket,NSW,141.0,13.88,580.0,580.0,580.0
SAL12618,Middleton Grange,NSW,7043.0,3.72,520.0,520.0,520.0
SAL12619,Middlingbank,NSW,22.0,109.24,150.0,150.0,150.0
SAL12620,Midginbil,NSW,84.0,18.21,375.0,375.0,375.0
SAL12621,Mihi,NSW,32.0,115.14,348.0,348.0,348.0
SAL12622,Mila,NSW,55.0,307.36,100.0,100.0,100.0
SAL12623,Milbrodale,NSW,149.0,223.16,340.0,340.0,340.0
SAL12624,Milbrulong,NSW,119.0,272.0,165.0,165.0,165.0
SAL12625,Milkers Flat,NSW,3.0,10.91,0.0,0.0,0.0
SAL12626,Millah Murrah,NSW,23.0,74.07,0.0,0.0,0.0
SAL12627,Millbank (Nsw),NSW,113.0,163.59,250.0,250.0,250.0
SAL12628,Miller,NSW,3374.0,1.85,201.0,201.0,201.0
SAL12629,Millers Forest,NSW,357.0,39.43,395.0,395.0,395.0
SAL12630,Millers Point,NSW,1735.0,0.37,800.0,800.0,800.0
SAL12631,Millfield,NSW,1282.0,46.05,320.0,320.0,320.0
SAL12632,Millie,NSW,14.0,467.93,0.0,0.0,0.0
SAL12633,Millingandi,NSW,519.0,30.0,210.0,210.0,210.0
SAL12634,Millthorpe,NSW,1347.0,110.06,325.0,325.0,325.0
SAL12635,Milparinka,NSW,67.0,12289.5,0.0,0.0,0.0
SAL12636,Milperra,NSW,4074.0,7.82,538.0,538.0,538.0
SAL12637,Milroy (Gunnedah - Nsw),NSW,72.0,357.92,290.0,290.0,290.0
SAL12638,Milroy (Mid-Western Regional - Nsw),NSW,61.0,11.35,300.0,300.0,300.0
SAL12639,Milsons Passage,NSW,32.0,0.92,0.0,0.0,0.0
SAL12640,Milsons Point,NSW,2529.0,0.29,750.0,750.0,750.0
SAL12641,Milton (Nsw),NSW,1801.0,24.81,383.0,383.0,383.0
SAL12642,Milvale,NSW,89.0,435.37,100.0,100.0,100.0
SAL12643,Mimosa (Nsw),NSW,70.0,327.73,0.0,0.0,0.0
SAL12644,Minchinbury,NSW,5778.0,6.07,450.0,450.0,450.0
SAL12645,Mindaribba,NSW,97.0,34.66,23.0,23.0,23.0
SAL12646,Mingoola (Nsw),NSW,7.0,93.07,0.0,0.0,0.0
SAL12647,Minimbah,NSW,199.0,51.01,325.0,325.0,325.0
SAL12648,Minjary,NSW,55.0,32.42,300.0,300.0,300.0
SAL12649,Minmi,NSW,700.0,12.75,400.0,400.0,400.0
SAL12650,Minnamurra,NSW,804.0,2.46,500.0,500.0,500.0
SAL12651,Minnie Water,NSW,212.0,74.48,290.0,290.0,290.0
SAL12652,Minore,NSW,194.0,122.51,300.0,300.0,300.0
SAL12653,Minto,NSW,13940.0,13.97,350.0,350.0,350.0
SAL12654,Minto Heights,NSW,384.0,8.7,430.0,430.0,430.0
SAL12655,Mirador,NSW,519.0,2.78,500.0,500.0,500.0
SAL12656,Miranda (Nsw),NSW,17942.0,6.87,488.0,488.0,488.0
SAL12657,Mirannie,NSW,55.0,142.03,200.0,200.0,200.0
SAL12658,Mirrabooka (Nsw),NSW,809.0,1.12,368.0,368.0,368.0
SAL12659,Mirrool,NSW,79.0,215.85,175.0,175.0,175.0
SAL12660,Missabotti,NSW,246.0,176.14,250.0,250.0,250.0
SAL12661,Mitchell (Nsw),NSW,1179.0,5.14,215.0,215.0,215.0
SAL12662,Mitchells Flat,NSW,242.0,49.08,360.0,360.0,360.0
SAL12663,Mitchells Island,NSW,462.0,46.05,290.0,290.0,290.0
SAL12664,Mittagong,NSW,6090.0,86.15,400.0,400.0,400.0
SAL12665,Moama,NSW,7213.0,892.62,315.0,315.0,315.0
SAL12666,Modanville,NSW,614.0,12.75,340.0,340.0,340.0
SAL12667,Mogareeka,NSW,67.0,5.51,340.0,340.0,340.0
SAL12668,Mogendoura,NSW,238.0,63.64,200.0,200.0,200.0
SAL12669,Moggs Swamp,NSW,19.0,320.11,0.0,0.0,0.0
SAL12670,Mogilla,NSW,100.0,79.63,250.0,250.0,250.0
SAL12671,Mogo (Eurobodalla - Nsw),NSW,332.0,161.66,220.0,220.0,220.0
SAL12672,Mogo (Mid-Western Regional - Nsw),NSW,9.0,91.79,0.0,0.0,0.0
SAL12673,Mogo Creek,NSW,10.0,138.97,0.0,0.0,0.0
SAL12674,Mogood,NSW,21.0,146.01,0.0,0.0,0.0
SAL12675,Mograni,NSW,34.0,37.42,150.0,150.0,150.0
SAL12676,Mogriguy,NSW,122.0,130.84,205.0,205.0,205.0
SAL12677,Mole River,NSW,89.0,488.57,0.0,0.0,0.0
SAL12678,Moleville Creek,NSW,42.0,10.36,362.0,362.0,362.0
SAL12679,Mollyan,NSW,48.0,337.11,127.0,127.0,127.0
SAL12680,Mollymook,NSW,1195.0,2.21,375.0,375.0,375.0
SAL12681,Mollymook Beach,NSW,2531.0,5.03,380.0,380.0,380.0
SAL12682,Molong,NSW,2595.0,601.53,270.0,270.0,270.0
SAL12683,Mona Vale,NSW,10877.0,6.69,650.0,650.0,650.0
SAL12684,Monak,NSW,60.0,71.96,110.0,110.0,110.0
SAL12685,Monaltrie,NSW,235.0,25.21,300.0,300.0,300.0
SAL12686,Mondayong,NSW,9.0,122.68,0.0,0.0,0.0
SAL12687,Mondrook,NSW,167.0,18.39,258.0,258.0,258.0
SAL12688,Monga,NSW,27.0,158.28,0.0,0.0,0.0
SAL12689,Mongarlowe,NSW,121.0,53.43,240.0,240.0,240.0
SAL12690,Mongogarie,NSW,85.0,89.1,200.0,200.0,200.0
SAL12691,Monia Gap,NSW,22.0,450.32,0.0,0.0,0.0
SAL12692,Monivae,NSW,30.0,62.56,0.0,0.0,0.0
SAL12693,Monkerai,NSW,102.0,175.31,220.0,220.0,220.0
SAL12694,Monteagle,NSW,213.0,178.12,230.0,230.0,230.0
SAL12695,Montecollum,NSW,67.0,4.38,355.0,355.0,355.0
SAL12696,Montefiores,NSW,630.0,10.55,303.0,303.0,303.0
SAL12697,Monterey,NSW,4619.0,1.68,480.0,480.0,480.0
SAL12698,Mooball,NSW,193.0,14.29,400.0,400.0,400.0
SAL12699,Moobi,NSW,168.0,78.02,300.0,300.0,300.0
SAL12700,Moogem,NSW,0.0,180.54,0.0,0.0,0.0
SAL12701,Mookerawa,NSW,24.0,86.09,248.0,248.0,248.0
SAL12702,Mookima Wybra,NSW,43.0,78.21,100.0,100.0,100.0
SAL12703,Moolarben,NSW,10.0,77.52,285.0,285.0,285.0
SAL12704,Moollattoo,NSW,0.0,121.5,0.0,0.0,0.0
SAL12705,Moolpa,NSW,18.0,477.69,0.0,0.0,0.0
SAL12706,Moombooldool,NSW,26.0,188.44,80.0,80.0,80.0
SAL12707,Moonan Brook,NSW,19.0,277.54,135.0,135.0,135.0
SAL12708,Moonan Flat,NSW,131.0,211.84,180.0,180.0,180.0
SAL12709,Moonbah,NSW,564.0,240.05,400.0,400.0,400.0
SAL12710,Moonbi,NSW,1201.0,271.28,220.0,220.0,220.0
SAL12711,Moonbria,NSW,8.0,397.52,0.0,0.0,0.0
